CpartNr;SpartNr;PurchaseNo;SaleNo
76753040W559;76783040K559KPK01;870001421;
76753040W660;76783040K660KPK01;870001422;
76753040W661;76783040K661KPK01;870003014;
76753040W663;76783040K663KPK01;870001423;
76753040W664;76783040K664KPK01;870001424;
76753040W665;76783040K665KPK01;870001425;
76753040W666;76783040K666KPK01;870001426;
76753040W668;76783040K668KPK01;870001055;
76753051W888;76783051G888KPK01;870008207;
76753040W700;76783040K700KPK01;870004479;
76753040W733;76783040K733KPK01;870004480;
76753040W770;76783040K770KPK01;870002532;
76753051W996;76783051G996KPK01;870009236;
76753040W773;76783040K773KPK01;870002533;
76753040W774;76783040K774KPK01;870004482;
76753040W775;76783040K775KPK01;870004483;
76753040W777;76783040K777KPK01;870005808;
76753040W800;76783040K800KPK01;870001589;
76753040W880;76783040K880KPK01;870004510;
76753040W881;76783040K881KPK01;870003546;
76753040W882;76783040K882KPK01;870001590;
76753040W884;76783040K884KPK01;870005995;
76753040W885;76783040K885KPK01;870004485;
76753040W886;76783040K886KPK01;870001431;
76753040W887;76783040K887KPK01;870004511;
76753040W888;76783040K888KPK01;870000808;
76753040W889;76783040K889KPK01;870004486;
76753040W999;76783040K999KPK01;870004234;
76753041W000;76783041G000KPK01;870007289;
76753041W001;76783041g001KPK01;870009222;
76753041W110;76783041G110KPK01;870007829;
76753051W999;76783051G999KPK01;870008039;
76783045W888;76783045K888KPK01;870004960;
76753041W330;76783041G330KPK01;870007294;
76753041W331;76783041G331KPK01;870007295;
76753041W111;76783041G111KPK01;870007290;
76753041W335;76783041G335KPK01;870008034;
76753041W118;76783041g118KPK01;870009223;
76753041W338;76783041G338KPK01;870007830;
76753041W334;76783041G334KPK01;870007296;
76753041W441;76783041G441KPK01;870009452;
76753041W444;76783041G444KPK01;870007831;
76753041W446;76783041G446KPK01;870008035;
76753041W447;76783041G447KPK01;870007832;
76753041W448;76783041G448KPK01;870007298;
76753041W550;76783041G550KPK01;870007833;
76753041W554;76783041G554KPK01;870007834;
76753041W555;76783041G555KPK01;870007115;
76753041W336;76783041G336KPK01;870007448;
76753041W660;76783041G660KPK01;870007835;
76753041W664;76783041G664KPK01;870007300;
76753041W666;76783041G666KPK01;870007178;
76753041W339;76783041G339KPK01;870007177;
76753041W559;76783041G559KPK01;870007299;
76753041W669;76783041G669KPK01;870007302;
76753041W885;76783041G885KPK01;870007305;
76753041W886;76783041G886KPK01;870007180;
76753041W777;76783041G777KPK01;870007303;
76753041W996;76783041G996KPK01;870010642;
76753041W998;76783041G998KPK01;870007308;
76753041W999;76783041G999KPK01;870007309;
76753050W003;76783050K003KPK01;870002229;
76753050W007;76783050K007KPK01;870002538;
76753050W110;76783050K110KPK01;870005810;
76753050W113;76783050K113KPK01;870005811;
76753050W222;76783050K222KPK01;870003547;
76753050W331;76783050K331KPK01;870005813;
76753050W337;76783050K337KPK01;870005976;
76753050W353;76783050K353KPK01;870003642;
76753050W444;76783050K444KPK01;870001598;
76753050W553;76783050K553KPK01;870001601;
76753050W661;76783050K661KPK01;870003031;
76753050W665;76783050K665KPK01;870010477;
76753050W666;76783050K666KPK01;870001436;
76753050W774;76783050K774KPK01;870005815;
76753050W800;76783050K800KPK01;870001437;
76753050W882;76783050K882KPK01;870001607;
76753050W884;76783050K884KPK01;870005990;
76753050W886;76783050K886KPK01;870001060;
76753050W888;76783050K888KPK01;870001609;
76753050W889;76783050K889KPK01;870004342;
76753050W990;76783050K990KPK01;870005816;
76753050W999;76783050K999KPK01;870001612;
76753041W881;76783041G881KPK01;870007179;
76753051W001;76783051G001KPK01;870009224;
76753041W993;76783041G993KPK01;870007181;
76753051W004;76783051G004KPK01;870007348;
76753040W669;76783040K669KPK01;870000654;
76753040W771;76783040K771KPK01;870004481;
76783028K666;76783028K666KPK01;870004957;
76753021W000;76883021G000KPK01;870000633;
76753021W002;76883021G002KPK01;870002901;
76753021W004;76883021G004KPK01;870001022;
76753051W333;76783051G333KPK01;870008966;
76753051W334;76783051G334KPK01;870007836;
76753021W005;76883021G005KPK01;870004140;
76753051W338;76783051G338KPK01;870009558;
76753051W339;76783051G339KPK01;870007837;
76753021W006;76883021G006KPK01;870002528;
76753051W446;76783051G446KPK01;870007838;
76753051W447;76783051G447KPK01;870009230;
76753051W550;76783051G550KPK01;870009231;
76753021W111;76883021G111KPK01;870001362;
76753051W559;76783051G559KPK01;870008066;
76753051W669;76783051G669KPK01;870008038;
76753021W114;76883021G114KPK01;870004339;
76753051W774;76783051G774KPK01;870007840;
76753021W115;76883021G115KPK01;870001025;
76753051W776;76783051G776KPK01;870009454;
76753051W777;76783051G777KPK01;870009263;
76753051W779;76783051G779KPK01;870009234;
76753051W881;76783051G881KPK01;870007353;
76753051W885;76783051G885KPK01;870007354;
76753021W220;76883021G220KPK01;870001366;
76753051W889;76783051G889KPK01;870008968;
76753051W991;76783051g991KPK01;870010145;
76753021W221;76883021G221KPK01;870000792;
76753021W335;76883021G335KPK01;870001029;
76753070W000;76783070K000KPK01;870000809;
76753070W001;76783070K001KPK01;870005817;
76753070W004;76783070K004KPK01;870004348;
76753070W006;76783070K006KPK01;870005819;
76753070W007;76783070K007KPK01;870004349;
76753070W110;76783070K110KPK01;870003551;
76753070W111;76783070K111KPK01;870003759;
76753070W113;76783070K113KPK01;870005074;
76753070W115;76783070K115KPK01;870001440;
76753070W133;76783070K133KPK01;870000813;
76753070W222;76783070K222KPK01;870001613;
76753070W326;76783070K326KPK01;870010013;
76753070W328;76783070K328KPK01;870004307;
76753070W331;76783070K331KPK01;870005978;
76753021W338;76883021G338KPK01;870001031;
76753070W335;76783070K335KPK01;870005820;
76753070W336;76783070K336KPK01;870001616;
76753070W355;76783070K355KPK01;870006191;
76753070W441;76783070K441KPK01;870000815;
76753070W444;76783070K444KPK01;870001444;
76753070W449;76783070K449KPK01;870005991;
76753070W556;76783070K556KPK01;870005979;
76753070W559;76783070K559KPK01;870005980;
76753070W660;76783070K660KPK01;870001446;
76753070W661;76783070K661KPK01;870005981;
76753070W663;76783070K663KPK01;870005982;
76753070W666;76783070K666KPK01;870002466;
76753070W770;76783070K770KPK01;870001063;
76753070W775;76783070K775KPK01;870001064;
76753070W882;76783070K882KPK01;870005983;
76753070W884;76783070K884KPK01;870005984;
76753070W886;76783070K886KPK01;870001450;
76753070W888;76783070K888KPK01;870001621;
76753070W889;76783070K889KPK01;870003795;
76753070W990;76783070K990KPK01;870005985;
76753070W999;76783070K999KPK01;870001622;
76753080W333;76783080K333KPK01;870001623;
76753080W444;76783080K444KPK01;870003559;
76753080W889;76783080K889KPK01;870002656;
76753090W000;76783090K000KPK01;870000819;
76753090W001;76783090K001KPK01;870004487;
76753090W003;76783090K003KPK01;870004512;
76753090W004;76783090K004KPK01;870004488;
76753090W005;76783090K005KPK01;870004489;
76753090W007;76783090K007KPK01;870003561;
76753090W115;76783090K115KPK01;870004490;
76753090W331;76783090K331KPK01;870004491;
76753090W333;76783090K333KPK01;870003562;
76753090W335;76783090K335KPK01;870004492;
76753090W336;76783090K336KPK01;870001458;
76753090W337;76783090K337KPK01;870004493;
76753090W339;76783090K339KPK01;870004494;
76753090W666;76783090K666KPK01;870004513;
76753090W771;76783090K771KPK01;870004521;
76753090W776;76783090K776KPK01;870004495;
76753090W880;76783090K880KPK01;870004353;
76753090W888;76783090K888KPK01;870004354;
76753090W990;76783090K990KPK01;870004496;
76753090W995;76783090K995KPK01;870004514;
76753090W996;76783090K996KPK01;870004522;
76753090W999;76783090K999KPK01;870003796;
76753021W441;76883021G441KPK01;870001377;
76753021W444;76883021G444KPK01;870002747;
76753021W447;76883021G447KPK01;870000795;
76753021W449;76883021G449KPK01;870001033;
76753021W551;76883021G551KPK01;870001381;
76753021W553;76883021G553KPK01;870001383;
76753104W334;76783104G334KPK01;870007841;
76753104W335;76783104G335KPK01;870007315;
76753104W338;76783104G338KPK01;870007842;
76753104W444;76783104G444KPK01;870007843;
76753104W449;76783104G449KPK01;870008977;
76753104W555;76783104G555KPK01;870007317;
76753021W660;76883021G660KPK01;870001037;
76753104W557;76783104G557KPK01;870009796;
76753021W661;76883021G661KPK01;870000798;
76753104W660;76783104G660KPK01;870009455;
76753104W664;76783104G664KPK01;870009456;
76753104W666;76783104G666KPK01;870004181;
76753104W770;76783104G770KPK01;870009458;
76753021W665;76883021G665KPK01;870002998;
76753104W777;76783104G777KPK01;870007318;
76753104W880;76783104G880KPK01;870008979;
76753104W881;76783104G881KPK01;870007401;
76753021W666;76883021G666KPK01;870001038;
76753104W885;76783104G885KPK01;870009457;
76753104W887;76783104G887KPK01;870007320;
76753021W773;76883021G773KPK01;870001583;
76753021W775;76883021G775KPK01;870001389;
76753104W991;76783104G991KPK01;870008982;
76753104W996;76783104G996KPK01;870008983;
76753104W999;76783104G999KPK01;870007321;
76753111K995;76783111G995KPK01;870007844;
76753111W004;76783111G004KPK01;870009239;
76753111W338;76783111G338KPK01;870007845;
76753111W661;76783111G661KPK01;870007617;
76753113K667;76783113K667KPK01;870006861;
76753021W882;76883021G882KPK01;870002084;
76753021W884;76883021G884KPK01;870002530;
76753113W004;76783113K004KPK01;870005828;
76753113W006;76783113K006KPK01;870005830;
76753113W009;76783113K009KPK01;870010692;
76753113W022;76783113K022KPK01;870005831;
76753113W110;76783113k110kpk01;870010568;
76753021W886;76883021G886KPK01;870001041;
76753113W330;76783113K330KPK01;870005832;
76753021W995;76883021G995KPK01;870001514;
76753113W333;76783113K333KPK01;870006459;
76753113W334;76783113K334KPK01;870005833;
76753113W335;76783113K335KPK01;870005834;
76753021W996;76883021G996KPK01;870002999;
76753021W999;76883021G999KPK01;870001407;
76753010W003;76783010K003KPK01;870008632;
76753113W339;76783113K339KPK01;870005836;
76753113W444;76783113K444KPK01;870005837;
76753010W008;76783010K008KPK01;870007667;
76753113W559;76783113K559KPK01;870010147;
76753113W660;76783113K660KPK01;870009451;
76753010W222;76783010K222KPK01;870006117;
76753113W666;76783113K666KPK01;870005838;
76753113W774;76783113K774KPK01;870009241;
76753113W777;76783113K777KPK01;870005839;
76753113W880;76783113K880KPK01;870008986;
76753113W883;76783113K883KPK01;870005987;
76753113W884;76783113k884kpk01;870010675;
76753113W888;76783113K888KPK01;870005840;
76753113W990;76783113K990KPK01;870008988;
76753010W228;76783010K228KPK01;870008023;
76753113W999;76783113K999KPK01;870008990;
76753010W330;76783010K330KPK01;870002556;
76753121K334;76783121G334KPK01;870007847;
76753121W000;76783121G000KPK01;870001463;
76753010W550;76783010K550KPK01;870004471;
76753121W333;76783121G333KPK01;870004344;
76753121W335;76783121G335KPK01;870007848;
76753121W339;76783121g339kpk01;870007328;
76753121W777;76783121G777KPK01;870007849;
76753010W559;76783010K559KPK01;870005966;
76755021K440;76785021K440KPK01;870010164;
76755021W000;76785021K000KPK01;870002819;
76755021W001;76785021K001KPK01;870002467;
76755021W002;76785021K002KPK01;870002558;
76755021W003;76785021K003KPK01;870001464;
76755021W006;76785021K006KPK01;870001628;
76755021W007;76785021K007KPK01;870001069;
76755021W009;76785021K009KPK01;870003647;
76755021W110;76785021K110KPK01;870001070;
76755021W111;76785021K111KPK01;870001071;
76755021W113;76785021K113KPK01;870004463;
76755021W115;76785021K115KPK01;870001073;
76755021W116;76785021K116KPK01;870001074;
76755021W118;76785021K118KPK01;870001075;
76755021W119;76785021K119KPK01;870001076;
76755021W133;76785021K133KPK01;870004355;
76755021W222;76785021K222KPK01;870005387;
76755021W300;76785021K300KPK01;870002541;
76755021W326;76785021K326KPK01;870002939;
76755021W330;76785021K330KPK01;870003807;
76755021W331;76785021K331KPK01;870001080;
76755021W336;76785021K336KPK01;870002940;
76755021W337;76785021K337KPK01;870001466;
76755021W339;76785021K339KPK01;870001083;
76755021W353;76785021K353KPK01;870003781;
76755021W355;76785021K355KPK01;870003077;
76755021W441;76785021K441KPK01;870004358;
76755021W444;76785021K444KPK01;870004359;
76755021W445;76785021K445KPK01;870004360;
76755021W446;76785021K446KPK01;870004361;
76755021W447;76785021K447KPK01;870004362;
76755021W449;76785021K449KPK01;870004363;
76755021W550;76785021K550KPK01;870004364;
76755021W553;76785021K553KPK01;870001633;
76755021W554;76785021K554KPK01;870002787;
76755021W555;76785021K555KPK01;870001085;
76755021W556;76785021K556KPK01;870002941;
76755021W557;76785021K557KPK01;870001086;
76755021W558;76785021K558KPK01;870004365;
76755021W559;76785021K559KPK01;870002471;
76755021W660;76785021K660KPK01;870004366;
76755021W665;76785021K665KPK01;870002944;
76755021W666;76785021K666KPK01;870002472;
76755021W669;76785021K669KPK01;870001467;
76755021W700;76785021K700KPK01;870004369;
76755021W770;76785021K770KPK01;870004370;
76755021W771;76785021K771KPK01;870001634;
76755021W773;76785021K773KPK01;870001088;
76755021W775;76785021K775KPK01;870001090;
76755021W776;76785021K776KPK01;870003053;
76755021W777;76785021K777KPK01;870004371;
76755021W778;76785021K778KPK01;870004372;
76755021W779;76785021K779KPK01;870001635;
76755021W880;76785021K880KPK01;870007466;
76755021W881;76785021K881KPK01;870002231;
76755021W882;76785021K882KPK01;870004373;
76755021W884;76785021K884KPK01;870004375;
76755021W885;76785021K885KPK01;870001637;
76755021W886;76785021K886KPK01;870004376;
76755021W887;76785021K887KPK01;870004377;
76755021W888;76785021K888KPK01;870001091;
76755021W889;76785021K889KPK01;870004378;
76755021W991;76785021K991KPK01;870004461;
76755021W993;76785021K993KPK01;870002164;
76755021W995;76785021K995KPK01;870001638;
76755021W999;76785021K999KPK01;870008040;
76755040K337;76785040K337KPK01;870008448;
76755040K338;76785040K338KPK01;870009865;
76755040K446;76785040K446KPK01;870008449;
76755040K558;76785040K558KPK01;870009802;
76755040K666;76785040K666KPK01;870008450;
76755040K669;76785040K669KPK01;870009079;
76755040K883;76785040K883KPK01;870008219;
76755040W000;76785040K000KPK01;870004423;
76755040W005;76785040K005KPK01;870004379;
76755040W006;76785040K006KPK01;870004380;
76755040W009;76785040K009KPK01;870004381;
76755040W033;76785040K033KPK01;870004382;
76755040W111;76785040K111KPK01;870001639;
76755040W119;76785040K119KPK01;870004384;
76755040W328;76785040K328KPK01;870004385;
76755040W331;76785040K331KPK01;870004386;
76755040W333;76785040K333KPK01;870005988;
76755040W335;76785040K335KPK01;870002484;
76755040W336;76785040K336KPK01;870003780;
76755040W339;76785040K339KPK01;870004387;
76755040W342;76785040K342KPK01;870002560;
76755040W441;76785040K441KPK01;870004011;
76755040W444;76785040K444KPK01;870004389;
76755040W550;76785040K550KPK01;870007560;
76755040W553;76785040K553KPK01;870004391;
76755040W555;76785040K555KPK01;870004425;
76755040W556;76785040K556KPK01;870004392;
76755040W660;76785040K660KPK01;870004393;
76755040W661;76785040K661KPK01;870002561;
76755040W665;76785040K665KPK01;870002165;
76755040W668;76785040K668KPK01;870004394;
76755040W770;76785040K770KPK01;870004395;
76755040W771;76785040K771KPK01;870004396;
76755040W774;76785040K774KPK01;870008451;
76755040W775;76785040K775KPK01;870004950;
76755040W776;76785040K776KPK01;870004398;
76755040W777;76785040K777KPK01;870004399;
76755040W779;76785040K779KPK01;870004401;
76755040W881;76785040K881KPK01;870001641;
76755040W882;76785040K882KPK01;870004403;
76755040W885;76785040K885KPK01;870004404;
76755040W886;76785040K886KPK01;870004405;
76755040W887;76785040K887KPK01;870004406;
76755040W888;76785040K888KPK01;870004407;
76755040W990;76785040K990KPK01;870004408;
76755040W991;76785040K991KPK01;870004409;
76755040W993;76785040K993KPK01;870002562;
76755040W995;76785040K995KPK01;870004410;
76755040W996;76785040K996KPK01;870004411;
76755040W998;76785040K998KPK01;870004412;
76755040W999;76785040K999KPK01;870004427;
76755050W003;76785050K003KPK01;870004413;
76755050W005;76785050K005KPK01;870002487;
76755050W008;76785050K008KPK01;870004414;
